Date,Price,Change %
09/01/1988,271.9,3.98%
10/01/1988,279,2.61%
11/01/1988,273.7,-1.90%
12/01/1988,277.7,1.46%
01/01/1989,297.5,7.13%
02/01/1989,288.9,-2.89%
03/01/1989,294.9,2.08%
04/01/1989,309.6,4.98%
05/01/1989,320.5,3.52%
06/01/1989,318,-0.78%
07/01/1989,346.1,8.84%
08/01/1989,351.4,1.53%
09/01/1989,349.1,-0.65%
10/01/1989,340.4,-2.49%
11/01/1989,346,1.65%
12/01/1989,353.4,2.14%
01/01/1990,329.1,-6.88%
02/01/1990,331.9,0.85%
03/01/1990,339.9,2.41%
04/01/1990,330.8,-2.68%
05/01/1990,361.2,9.19%
06/01/1990,358,-0.89%
07/01/1990,356.1,-0.53%
08/01/1990,322.6,-9.41%
09/01/1990,306.1,-5.11%
10/01/1990,304,-0.69%
11/01/1990,322.2,5.99%
12/01/1990,330.2,2.48%
01/01/1991,343.9,4.15%
02/01/1991,367.1,6.75%
03/01/1991,375.2,2.21%
04/01/1991,375.4,0.05%
05/01/1991,389.8,3.84%
06/01/1991,371.2,-4.77%
07/01/1991,387.8,4.47%
08/01/1991,395.4,1.96%
09/01/1991,387.9,-1.90%
10/01/1991,392.5,1.19%
11/01/1991,375.2,-4.41%
12/01/1991,417.1,11.17%
01/01/1992,408.8,-1.99%
02/01/1992,412.7,0.95%
03/01/1992,403.7,-2.18%
04/01/1992,414.9,2.77%
05/01/1992,415.4,0.12%
06/01/1992,408.1,-1.76%
07/01/1992,424.2,3.95%
08/01/1992,414,-2.40%
09/01/1992,417.8,0.92%
10/01/1992,418.7,0.22%
11/01/1992,431.4,3.03%
12/01/1992,435.7,1.00%
01/01/1993,438.8,0.71%
02/01/1993,443.4,1.05%
03/01/1993,451.7,1.87%
04/01/1993,440.2,-2.55%
05/01/1993,450.2,2.27%
06/01/1993,450.5,0.07%
07/01/1993,448.1,-0.53%
08/01/1993,463.6,3.46%
09/01/1993,458.9,-1.01%
10/01/1993,467.8,1.94%
11/01/1993,461.8,-1.28%
12/01/1993,466.4,1.00%
01/01/1994,481.6,3.26%
02/01/1994,467.1,-3.01%
03/01/1994,445.8,-4.56%
04/01/1994,450.9,1.14%
05/01/1994,456.5,1.24%
06/01/1994,444.3,-2.67%
07/01/1994,458.3,3.15%
08/01/1994,475.5,3.75%
09/01/1994,462.7,-2.69%
10/01/1994,472.4,2.10%
11/01/1994,453.7,-3.96%
12/01/1994,459.3,1.23%
01/01/1995,470.4,2.42%
02/01/1995,487.4,3.61%
03/01/1995,500.7,2.73%
04/01/1995,514.7,2.80%
05/01/1995,533.4,3.63%
06/01/1995,544.8,2.14%
07/01/1995,562.1,3.18%
08/01/1995,561.9,-0.04%
09/01/1995,584.4,4.00%
10/01/1995,581.5,-0.50%
11/01/1995,605.4,4.11%
12/01/1995,615.9,1.73%
01/01/1996,636,3.26%
02/01/1996,640.4,0.69%
03/01/1996,645.5,0.80%
04/01/1996,654.2,1.35%
05/01/1996,669.1,2.28%
06/01/1996,670.6,0.22%
07/01/1996,640,-4.56%
08/01/1996,652,1.88%
09/01/1996,687.3,5.41%
10/01/1996,705.3,2.62%
11/01/1996,757,7.33%
12/01/1996,740.7,-2.15%
01/01/1997,786.2,6.14%
02/01/1997,790.8,0.59%
03/01/1997,757.1,-4.26%
04/01/1997,801.3,5.84%
05/01/1997,848.3,5.87%
06/01/1997,885.1,4.34%
07/01/1997,954.3,7.82%
08/01/1997,899.5,-5.74%
09/01/1997,947.3,5.31%
10/01/1997,914.6,-3.45%
11/01/1997,955.4,4.46%
12/01/1997,970.4,1.57%
01/01/1998,980.3,1.02%
02/01/1998,"1,049.30",7.04%
03/01/1998,"1,101.80",5.00%
04/01/1998,"1,111.80",0.91%
05/01/1998,"1,090.80",-1.89%
06/01/1998,"1,133.80",3.94%
07/01/1998,"1,120.70",-1.16%
08/01/1998,957.3,-14.58%
09/01/1998,"1,017.00",6.24%
10/01/1998,"1,098.70",8.03%
11/01/1998,"1,163.60",5.91%
12/01/1998,"1,229.20",5.64%
01/01/1999,"1,279.60",4.10%
02/01/1999,"1,238.30",-3.23%
03/01/1999,"1,286.40",3.88%
04/01/1999,"1,335.20",3.79%
05/01/1999,"1,301.80",-2.50%
06/01/1999,"1,372.70",5.45%
07/01/1999,"1,328.70",-3.21%
08/01/1999,"1,320.40",-0.62%
09/01/1999,"1,282.70",-2.86%
10/01/1999,"1,362.90",6.25%
11/01/1999,"1,388.90",1.91%
12/01/1999,"1,469.20",5.78%
01/01/2000,"1,394.50",-5.08%
02/01/2000,"1,366.40",-2.02%
03/01/2000,"1,498.60",9.68%
04/01/2000,"1,452.40",-3.08%
05/01/2000,"1,420.60",-2.19%
06/01/2000,"1,454.60",2.39%
07/01/2000,"1,430.80",-1.64%
08/01/2000,"1,517.70",6.07%
09/01/2000,"1,436.50",-5.35%
10/01/2000,"1,429.40",-0.49%
11/01/2000,"1,315.00",-8.00%
12/01/2000,"1,320.30",0.40%
01/01/2001,"1,366.00",3.46%
02/01/2001,"1,239.90",-9.23%
03/01/2001,"1,160.30",-6.42%
04/01/2001,"1,249.50",7.69%
05/01/2001,"1,255.80",0.50%
06/01/2001,"1,224.40",-2.50%
07/01/2001,"1,211.20",-1.08%
08/01/2001,"1,133.60",-6.41%
09/01/2001,"1,040.90",-8.18%
10/01/2001,"1,059.80",1.82%
11/01/2001,"1,139.50",7.52%
12/01/2001,"1,148.10",0.75%
01/01/2002,"1,130.20",-1.56%
02/01/2002,"1,106.70",-2.08%
03/01/2002,"1,147.40",3.68%
04/01/2002,"1,076.90",-6.14%
05/01/2002,"1,067.10",-0.91%
06/01/2002,989.8,-7.24%
07/01/2002,911.6,-7.90%
08/01/2002,916.1,0.49%
09/01/2002,815.3,-11.00%
10/01/2002,885.8,8.65%
11/01/2002,936.3,5.70%
12/01/2002,879.8,-6.03%
01/01/2003,855.7,-2.74%
02/01/2003,841.1,-1.71%
03/01/2003,848.2,0.84%
04/01/2003,916.9,8.10%
05/01/2003,963.6,5.09%
06/01/2003,974.5,1.13%
07/01/2003,990.3,1.62%
08/01/2003,"1,008.00",1.79%
09/01/2003,996,-1.19%
10/01/2003,"1,050.70",5.49%
11/01/2003,"1,058.20",0.71%
12/01/2003,"1,111.90",5.07%
01/01/2004,"1,131.10",1.73%
02/01/2004,"1,144.90",1.22%
03/01/2004,"1,126.20",-1.63%
04/01/2004,"1,107.30",-1.68%
05/01/2004,"1,120.70",1.21%
06/01/2004,"1,140.80",1.79%
07/01/2004,"1,101.70",-3.43%
08/01/2004,"1,104.20",0.23%
09/01/2004,"1,114.60",0.94%
10/01/2004,"1,130.20",1.40%
11/01/2004,"1,173.80",3.86%
12/01/2004,"1,211.90",3.25%
01/01/2005,"1,181.30",-2.52%
02/01/2005,"1,203.60",1.89%
03/01/2005,"1,180.60",-1.91%
04/01/2005,"1,156.80",-2.02%
05/01/2005,"1,191.50",3.00%
06/01/2005,"1,191.30",-0.02%
07/01/2005,"1,234.20",3.60%
08/01/2005,"1,220.30",-1.13%
09/01/2005,"1,228.80",0.70%
10/01/2005,"1,207.00",-1.77%
11/01/2005,"1,249.50",3.52%
12/01/2005,"1,248.30",-0.10%
01/01/2006,"1,280.10",2.55%
02/01/2006,"1,280.70",0.05%
03/01/2006,"1,294.80",1.10%
04/01/2006,"1,310.60",1.22%
05/01/2006,"1,270.10",-3.09%
06/01/2006,"1,270.20",0.01%
07/01/2006,"1,276.70",0.51%
08/01/2006,"1,303.80",2.12%
09/01/2006,"1,335.80",2.45%
10/01/2006,"1,377.90",3.15%
11/01/2006,"1,400.60",1.65%
12/01/2006,"1,418.30",1.26%
01/01/2007,"1,438.20",1.40%
02/01/2007,"1,406.80",-2.18%
03/01/2007,"1,420.90",1.00%
04/01/2007,"1,482.40",4.33%
05/01/2007,"1,530.60",3.25%
06/01/2007,"1,503.30",-1.78%
07/01/2007,"1,455.30",-3.19%
08/01/2007,"1,474.00",1.28%
09/01/2007,"1,526.80",3.58%
10/01/2007,"1,549.40",1.48%
11/01/2007,"1,481.10",-4.41%
12/01/2007,"1,468.40",-0.86%
01/01/2008,"1,378.50",-6.12%
02/01/2008,"1,330.60",-3.47%
03/01/2008,"1,322.70",-0.59%
04/01/2008,"1,385.60",4.76%
05/01/2008,"1,400.40",1.07%
06/01/2008,"1,280.00",-8.60%
07/01/2008,"1,267.40",-0.98%
08/01/2008,"1,282.80",1.22%
09/01/2008,"1,166.40",-9.07%
10/01/2008,968.8,-16.94%
11/01/2008,896.2,-7.49%
12/01/2008,903.2,0.78%
01/01/2009,825.9,-8.56%
02/01/2009,735.1,-10.99%
03/01/2009,797.9,8.54%
04/01/2009,872.8,9.39%
05/01/2009,919.1,5.30%
06/01/2009,919.3,0.02%
07/01/2009,987.5,7.42%
08/01/2009,"1,020.60",3.35%
09/01/2009,"1,057.10",3.58%
10/01/2009,"1,036.20",-1.98%
11/01/2009,"1,095.60",5.73%
12/01/2009,"1,115.10",1.78%
01/01/2010,"1,073.90",-3.69%
02/01/2010,"1,104.50",2.85%
03/01/2010,"1,169.40",5.88%
04/01/2010,"1,186.70",1.48%
05/01/2010,"1,089.40",-8.20%
06/01/2010,"1,030.70",-5.39%
07/01/2010,"1,101.60",6.88%
08/01/2010,"1,049.30",-4.75%
09/01/2010,"1,141.20",8.76%
10/01/2010,"1,183.30",3.69%
11/01/2010,"1,180.50",-0.24%
12/01/2010,"1,257.60",6.53%
01/01/2011,"1,286.10",2.27%
02/01/2011,"1,327.20",3.20%
03/01/2011,"1,325.80",-0.11%
04/01/2011,"1,363.60",2.85%
05/01/2011,"1,345.20",-1.35%
06/01/2011,"1,320.60",-1.83%
07/01/2011,"1,292.30",-2.14%
08/01/2011,"1,218.90",-5.68%
09/01/2011,"1,131.40",-7.18%
10/01/2011,"1,253.30",10.77%
11/01/2011,"1,247.00",-0.50%
12/01/2011,"1,257.60",0.85%
01/01/2012,"1,312.40",4.36%
02/01/2012,"1,365.70",4.06%
03/01/2012,"1,408.50",3.13%
04/01/2012,"1,397.90",-0.75%
05/01/2012,"1,310.30",-6.27%
06/01/2012,"1,362.20",3.96%
07/01/2012,"1,379.30",1.26%
08/01/2012,"1,406.60",1.98%
09/01/2012,"1,440.70",2.42%
10/01/2012,"1,412.20",-1.98%
11/01/2012,"1,416.20",0.28%
12/01/2012,"1,426.20",0.71%
01/01/2013,"1,498.10",5.04%
02/01/2013,"1,514.70",1.11%
03/01/2013,"1,569.20",3.60%
04/01/2013,"1,597.60",1.81%
05/01/2013,"1,630.70",2.07%
06/01/2013,"1,606.30",-1.50%
07/01/2013,"1,685.70",4.94%
08/01/2013,"1,633.00",-3.13%
09/01/2013,"1,681.50",2.97%
10/01/2013,"1,756.50",4.46%
11/01/2013,"1,805.80",2.81%
12/01/2013,"1,848.40",2.36%
01/01/2014,"1,782.60",-3.56%
02/01/2014,"1,859.45",4.31%
03/01/2014,"1,872.34",0.69%
04/01/2014,"1,883.95",0.62%
05/01/2014,"1,923.57",2.10%
06/01/2014,"1,960.23",1.91%
07/01/2014,"1,930.67",-1.51%
08/01/2014,"2,003.37",3.77%
09/01/2014,"1,972.29",-1.55%
10/01/2014,"2,018.05",2.32%
11/01/2014,"2,067.56",2.45%
12/01/2014,"2,058.90",-0.42%
01/01/2015,"1,994.99",-3.10%
02/01/2015,"2,104.50",5.49%
03/01/2015,"2,067.89",-1.74%
04/01/2015,"2,085.51",0.85%
05/01/2015,"2,107.39",1.05%
06/01/2015,"2,063.11",-2.10%
07/01/2015,"2,103.84",1.97%
08/01/2015,"1,972.18",-6.26%
09/01/2015,"1,920.03",-2.64%
10/01/2015,"2,079.36",8.30%
11/01/2015,"2,080.41",0.05%
12/01/2015,"2,043.94",-1.75%
01/01/2016,"1,940.24",-5.07%
02/01/2016,"1,932.23",-0.41%
03/01/2016,"2,059.74",6.60%
04/01/2016,"2,065.30",0.27%
05/01/2016,"2,096.96",1.53%
06/01/2016,"2,098.86",0.09%
07/01/2016,"2,173.60",3.56%
08/01/2016,"2,170.95",-0.12%
09/01/2016,"2,168.27",-0.12%
10/01/2016,"2,126.15",-1.94%
11/01/2016,"2,198.81",3.42%
12/01/2016,"2,238.83",1.82%
01/01/2017,"2,278.87",1.79%
02/01/2017,"2,363.64",3.72%
03/01/2017,"2,362.72",-0.04%
04/01/2017,"2,384.20",0.91%
05/01/2017,"2,411.80",1.16%
06/01/2017,"2,423.41",0.48%
07/01/2017,"2,470.30",1.93%
08/01/2017,"2,471.65",0.05%
09/01/2017,"2,519.36",1.93%
10/01/2017,"2,575.26",2.22%
11/01/2017,"2,647.58",2.81%
12/01/2017,"2,673.61",0.98%
01/01/2018,"2,823.81",5.62%
02/01/2018,"2,713.83",-3.89%
03/01/2018,"2,640.87",-2.69%
04/01/2018,"2,648.05",0.27%
05/01/2018,"2,705.27",2.16%
06/01/2018,"2,718.37",0.48%
07/01/2018,"2,816.29",3.60%
08/01/2018,"2,901.52",3.03%
09/01/2018,"2,913.98",0.43%
10/01/2018,"2,711.74",-6.94%
11/01/2018,"2,760.17",1.79%
12/01/2018,"2,506.85",-9.18%
01/01/2019,"2,704.10",7.87%
02/01/2019,"2,784.49",2.97%
03/01/2019,"2,834.40",1.79%
04/01/2019,"2,945.83",3.93%
05/01/2019,"2,752.06",-6.58%
06/01/2019,"2,941.76",6.89%
07/01/2019,"2,980.38",1.31%
08/01/2019,"2,926.46",-1.81%
09/01/2019,"2,976.74",1.72%
10/01/2019,"3,037.56",2.04%
11/01/2019,"3,140.98",3.40%
12/01/2019,"3,230.78",2.86%
01/01/2020,"3,225.52",-0.16%
02/01/2020,"2,954.22",-8.41%
03/01/2020,"2,584.59",-12.51%
04/01/2020,"2,912.43",12.68%
05/01/2020,"3,044.31",4.53%
06/01/2020,"3,100.29",1.84%
07/01/2020,"3,271.12",5.51%
08/01/2020,"3,500.31",7.01%
09/01/2020,"3,363.00",-3.92%
10/01/2020,"3,269.96",-2.77%
11/01/2020,"3,621.63",10.75%
12/01/2020,"3,756.07",3.71%
01/01/2021,"3,714.24",-1.11%
02/01/2021,"3,811.15",2.61%
03/01/2021,"3,972.89",4.24%
04/01/2021,"4,181.17",5.24%
05/01/2021,"4,204.11",0.55%
06/01/2021,"4,297.50",2.22%
07/01/2021,"4,395.26",2.27%
08/01/2021,"4,522.68",2.90%
09/01/2021,"4,307.54",-4.76%
10/01/2021,"4,605.38",6.91%
11/01/2021,"4,567.00",-0.83%
12/01/2021,"4,766.18",4.36%
01/01/2022,"4,515.55",-5.26%
02/01/2022,"4,373.94",-3.14%
03/01/2022,"4,530.41",3.58%
04/01/2022,"4,131.93",-8.80%
05/01/2022,"4,132.15",0.01%
06/01/2022,"3,785.38",-8.39%
07/01/2022,"4,130.29",9.11%
08/01/2022,"3,955.00",-4.24%
09/01/2022,"3,585.62",-9.34%
10/01/2022,"3,871.98",7.99%
11/01/2022,"4,080.11",5.38%
12/01/2022,"3,839.50",-5.90%
